Dataset: Wine,,,,,,,,,
RUSBoost,0.714 ± 0.03,0.404 ± 0.007,0.256 ± 0.006,0.26 ± 0.006,0.267 ± 0.013,0.191 ± 0.011,0.404 ± 0.007,0.714 ± 0.03,0.216 ± 0.028
GradientBoostingC,0.658 ± 0.043,0.585 ± 0.04,0.566 ± 0.045,0.607 ± 0.043,0.466 ± 0.057,0.442 ± 0.056,0.585 ± 0.04,0.658 ± 0.043,0.468 ± 0.081
XGBClassifier,0.569 ± 0.015,0.574 ± 0.015,0.567 ± 0.017,0.571 ± 0.016,0.446 ± 0.022,0.446 ± 0.023,0.574 ± 0.015,0.569 ± 0.015,0.501 ± 0.064
CatBoost,0.581 ± 0.03,0.584 ± 0.028,0.573 ± 0.028,0.577 ± 0.026,0.459 ± 0.038,0.458 ± 0.038,0.584 ± 0.028,0.581 ± 0.03,0.478 ± 0.05
SMOTEBoost,0.417 ± 0.017,0.435 ± 0.006,0.317 ± 0.042,0.335 ± 0.052,0.309 ± 0.006,0.245 ± 0.022,0.435 ± 0.006,0.417 ± 0.017,0.324 ± 0.031
,,,,,,,,,
Dataset: Statlog_Shuttle,,,,,,,,,
Algorithm,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
LogitBoost,0.994 ± 0.001,0.994 ± 0.001,0.993 ± 0.001,0.994 ± 0.001,0.984 ± 0.002,0.984 ± 0.002,0.994 ± 0.001,0.994 ± 0.001,0.568 ± 0.073
MEBoost,0.869 ± 0.0,0.842 ± 0.0,0.771 ± 0.0,0.771 ± 0.0,0.501 ± 0.0,0.382 ± 0.0,0.842 ± 0.0,0.869 ± 0.0,0.286 ± 0.0
AdaBoost,0.995 ± 0.0,0.996 ± 0.0,0.993 ± 0.0,0.993 ± 0.0,0.987 ± 0.0,0.987 ± 0.0,0.996 ± 0.0,0.995 ± 0.0,0.46 ± 0.045
RUSBoost,0.905 ± 0.001,0.735 ± 0.004,0.766 ± 0.002,0.788 ± 0.002,0.49 ± 0.006,0.446 ± 0.006,0.735 ± 0.004,0.905 ± 0.001,0.37 ± 0.008
GradientBoostingC,0.995 ± 0.0,0.995 ± 0.0,0.992 ± 0.0,0.992 ± 0.0,0.985 ± 0.001,0.985 ± 0.001,0.995 ± 0.0,0.995 ± 0.0,0.427 ± 0.0
XGBClassifier,0.998 ± 0.0,0.998 ± 0.0,0.998 ± 0.0,0.998 ± 0.0,0.995 ± 0.0,0.995 ± 0.0,0.998 ± 0.0,0.998 ± 0.0,0.723 ± 0.058
CatBoost,0.998 ± 0.0,0.998 ± 0.0,0.997 ± 0.0,0.998 ± 0.0,0.994 ± 0.001,0.994 ± 0.001,0.998 ± 0.0,0.998 ± 0.0,0.616 ± 0.011
SMOTEBoost,0.906 ± 0.026,0.743 ± 0.09,0.79 ± 0.043,0.795 ± 0.042,0.448 ± 0.059,0.424 ± 0.079,0.743 ± 0.09,0.906 ± 0.026,0.343 ± 0.085
,,,,,,,,,
Dataset: Covertype,,,,,,,,,
Algorithm,Precision,Recall,F1,G-mean,MMCC,Kappa,Weighted Accuracy,PR Score,Balanced Accuracy
LogitBoost,0.722 ± 0.002,0.559 ± 0.014,0.525 ± 0.019,0.63 ± 0.01,0.36 ± 0.016,0.284 ± 0.021,0.559 ± 0.014,0.722 ± 0.002,0.303 ± 0.01
MEBoost,0.714 ± 0.031,0.393 ± 0.02,0.256 ± 0.042,0.405 ± 0.131,0.106 ± 0.062,0.04 ± 0.028,0.393 ± 0.02,0.714 ± 0.031,0.156 ± 0.008
AdaBoost,0.686 ± 0.002,0.663 ± 0.001,0.638 ± 0.001,0.651 ± 0.001,0.437 ± 0.0,0.432 ± 0.001,0.663 ± 0.001,0.686 ± 0.002,0.348 ± 0.003
RUSBoost,0.677 ± 0.001,0.618 ± 0.001,0.568 ± 0.001,0.57 ± 0.001,0.342 ± 0.001,0.333 ± 0.001,0.618 ± 0.001,0.677 ± 0.001,0.21 ± 0.0
GradientBoostingC,0.695 ± 0.015,0.69 ± 0.002,0.663 ± 0.001,0.672 ± 0.001,0.48 ± 0.002,0.477 ± 0.002,0.69 ± 0.002,0.695 ± 0.015,0.325 ± 0.001
XGBClassifier,0.871 ± 0.0,0.871 ± 0.0,0.87 ± 0.0,0.871 ± 0.0,0.791 ± 0.001,0.791 ± 0.001,0.871 ± 0.0,0.871 ± 0.0,0.829 ± 0.002
