Dataset: Yeast;;;;;;;;;;
Preprocessor;Boosters;Precision;Recall;F1;G-mean;MMCC;Kappa;Weighted Accuracy;PR Score;Balanced Accuracy
power;LogitBoost;0,913;0,893;0,891;0,903;0,848;0,836;0,893;0,913;0,908
power;MEBoost;0,790;0,596;0,553;0,678;0,457;0,354;0,596;0,790;0,553
power;AdaBoost;0,902;0,862;0,857;0,881;0,815;0,789;0,862;0,902;0,882
power;RUSBoost;0,609;0,519;0,489;0,560;0,250;0,226;0,519;0,609;0,478
power;GradientBoostingClassifier;0,884;0,878;0,878;0,881;0,816;0,812;0,878;0,884;0,890
quantile;LogitBoost;0,913;0,893;0,891;0,903;0,848;0,836;0,893;0,913;0,908
quantile;MEBoost;0,800;0,619;0,579;0,697;0,484;0,388;0,619;0,800;0,563
quantile;AdaBoost;0,902;0,862;0,857;0,881;0,815;0,789;0,862;0,902;0,882
quantile;RUSBoost;0,609;0,519;0,489;0,560;0,250;0,226;0,519;0,609;0,478
quantile;GradientBoostingClassifier;0,884;0,878;0,878;0,881;0,816;0,812;0,878;0,884;0,890
polynomial;LogitBoost;0,907;0,885;0,884;0,896;0,837;0,824;0,885;0,907;0,897
polynomial;MEBoost;0,771;0,427;0,293;0,403;0,217;0,084;0,427;0,771;0,400
polynomial;AdaBoost;0,900;0,870;0,866;0,884;0,820;0,801;0,870;0,900;0,889
polynomial;RUSBoost;0,736;0,612;0,586;0,665;0,425;0,377;0,612;0,736;0,573
polynomial;GradientBoostingClassifier;0,902;0,893;0,892;0,897;0,841;0,836;0,893;0,902;0,908
kbins;LogitBoost;0,896;0,870;0,867;0,883;0,818;0,801;0,870;0,896;0,889
kbins;MEBoost;0,716;0,534;0,486;0,612;0,337;0,253;0,534;0,716;0,491
kbins;AdaBoost;0,902;0,862;0,857;0,881;0,815;0,789;0,862;0,902;0,882
kbins;RUSBoost;0,609;0,519;0,489;0,560;0,250;0,226;0,519;0,609;0,478
kbins;GradientBoostingClassifier;0,884;0,878;0,878;0,881;0,816;0,812;0,878;0,884;0,890
Dataset: Glass_Identification;;;;;;;;;;
Preprocessor;Boosters;Precision;Recall;F1;G-mean;MMCC;Kappa;Weighted Accuracy;PR Score;Balanced Accuracy
standard;LogitBoost;0,837;0,758;0,744;0,783;0,696;0,665;0,758;0,837;0,741
standard;MEBoost;0,786;0,500;0,387;0,505;0,414;0,294;0,500;0,786;0,434
standard;AdaBoost;0,799;0,757;0,743;0,764;0,678;0,663;0,757;0,799;0,736
standard;RUSBoost;0,645;0,509;0,446;0,489;0,350;0,315;0,509;0,645;0,374
standard;GradientBoostingClassifier;0,797;0,753;0,725;0,746;0,671;0,653;0,753;0,797;0,683
minmax;LogitBoost;0,778;0,678;0,651;0,698;0,590;0,553;0,678;0,778;0,648
minmax;MEBoost;0,780;0,500;0,401;0,549;0,404;0,284;0,500;0,780;0,357
minmax;AdaBoost;0,711;0,645;0,612;0,648;0,539;0,516;0,645;0,711;0,658
minmax;RUSBoost;0,555;0,415;0,319;0,388;0,213;0,177;0,415;0,555;0,269
minmax;GradientBoostingClassifier;0,735;0,663;0,626;0,659;0,559;0,522;0,663;0,735;0,559
robust;LogitBoost;0,817;0,725;0,704;0,749;0,651;0,618;0,725;0,817;0,660
robust;MEBoost;0,793;0,496;0,398;0,554;0,402;0,277;0,496;0,793;0,350
robust;AdaBoost;0,829;0,795;0,777;0,798;0,726;0,714;0,795;0,829;0,746
robust;RUSBoost;0,600;0,505;0,441;0,488;0,346;0,308;0,505;0,600;0,372
robust;GradientBoostingClassifier;0,793;0,743;0,710;0,733;0,660;0,639;0,743;0,793;0,639
normalizer;LogitBoost;0,891;0,842;0,833;0,864;0,800;0,782;0,842;0,891;0,827
normalizer;MEBoost;0,780;0,500;0,402;0,564;0,407;0,286;0,500;0,780;0,366
normalizer;AdaBoost;0,826;0,795;0,788;0,810;0,724;0,714;0,795;0,826;0,747
normalizer;RUSBoost;0,617;0,495;0,440;0,481;0,327;0,296;0,495;0,617;0,338
normalizer;GradientBoostingClassifier;0,812;0,758;0,734;0,763;0,677;0,657;0,758;0,812;0,669
power;LogitBoost;0,829;0,743;0,716;0,750;0,674;0,643;0,743;0,829;0,655
power;MEBoost;0,773;0,496;0,395;0,555;0,408;0,280;0,496;0,773;0,388
power;AdaBoost;0,774;0,748;0,733;0,747;0,659;0,649;0,748;0,774;0,705
power;RUSBoost;0,642;0,509;0,443;0,488;0,352;0,315;0,509;0,642;0,386
power;GradientBoostingClassifier;0,744;0,687;0,654;0,673;0,575;0,557;0,687;0,744;0,570
quantile;LogitBoost;0,842;0,772;0,757;0,792;0,708;0,685;0,772;0,842;0,739
quantile;MEBoost;0,770;0,542;0,474;0,607;0,457;0,351;0,542;0,770;0,450
quantile;AdaBoost;0,819;0,785;0,775;0,788;0,712;0,701;0,785;0,819;0,764
quantile;RUSBoost;0,596;0,500;0,435;0,484;0,340;0,302;0,500;0,596;0,370
quantile;GradientBoostingClassifier;0,784;0,739;0,711;0,733;0,649;0,631;0,739;0,784;0,635
polynomial;LogitBoost;0,892;0,847;0,833;0,855;0,805;0,790;0,847;0,892;0,834
polynomial;MEBoost;0,773;0,505;0,397;0,519;0,424;0,304;0,505;0,773;0,446
polynomial;AdaBoost;0,905;0,875;0,864;0,876;0,836;0,826;0,875;0,905;0,829
polynomial;RUSBoost;0,622;0,552;0,500;0,562;0,422;0,390;0,552;0,622;0,499
polynomial;GradientBoostingClassifier;0,841;0,800;0,775;0,799;0,733;0,720;0,800;0,841;0,721
kbins;LogitBoost;0,659;0,542;0,493;0,571;0,421;0,361;0,542;0,659;0,475
kbins;MEBoost;0,627;0,439;0,342;0,452;0,279;0,189;0,439;0,627;0,298
